generation,fitness
1373,4662009
1374,4661292
1375,4661292
1376,4660826
1377,4660785
1378,4660065
1379,4659128.5
1380,4658319.5
1381,4656952.5
1382,4655926
1383,4655336
1384,4655336
1385,4654037.5
1386,4653695
1387,4651814.5
1388,4649813
1389,4649813
1390,4648934.5
1391,4648934.5
1392,4645961.5
1393,4647845
1394,4647845
1395,4645100
1396,4645100
1397,4645100
1398,4643856
1399,4643508
1400,4643508
1401,4643508
1402,4641229
1403,4641229
1404,4640385
1405,4638245
1406,4635635
1407,4638245
1408,4638245
1409,4637229
1410,4636665.5
1411,4635968.5
1412,4635066.5
1413,4634033
1414,4632547.5
1415,4631998
1416,4631998
1417,4631998
1418,4631244
1419,4630604.5
1420,4629863.5
1421,4629188
1422,4628021
1423,4627283
1424,4626347
1425,4626237
1426,4626053
1427,4623534
1428,4623534
1429,4621723
1430,4621723
1431,4620824
1432,4619648
1433,4618951
1434,4617051
1435,4616800
1436,4616800
1437,4616800
1438,4616200
1439,4613719
1440,4613719
1441,4613719
1442,4613719
1443,4613719
1444,4613290
1445,4612266
1446,4610863
1447,4610755
1448,4608231.5
1449,4608231.5
1450,4608231.5
1451,4608231.5
1452,4608231.5
1453,4607298.5
1454,4607298.5
1455,4607298.5
1456,4604943
1457,4604943
1458,4604102
1459,4604102
1460,4603609
1461,4602765
1462,4602319.5
1463,4602109
1464,4598249.5
1465,4598249.5
1466,4596840.5
1467,4596840.5
1468,4596840.5
1469,4597750
1470,4597750
1471,4597683
1472,4596943.5
1473,4596264
1474,4595503
1475,4594387
1476,4594387
1477,4593930
1478,4592242
1479,4592242
1480,4592242
1481,4590125
1482,4591012
1483,4590027
1484,4590027
1485,4589249
1486,4588816
1487,4586246
1488,4586246
1489,4585083
1490,4585083
1491,4585083
1492,4584726.5
1493,4584596
1494,4583373
1495,4583373
1496,4582229
1497,4582229
1498,4582144
1499,4580554
1500,4580554
1501,4580531.5
1502,4579202.5
1503,4578600
1504,4578600
1505,4578108
1506,4577836
1507,4577087.5
1508,4576907
1509,4575612
1510,4574432.5
1511,4574432.5
1512,4574253
1513,4573359
